doc_id	layer	nur_bei	span
03_e-commerce-trainer	KNOWLEDGE	nur B	Künstliche Intelligenz ( KI ) im Arbeitsprozess
03_e-commerce-trainer	KNOWLEDGE	nur B	Online-Marketing und Kundengewinnung
03_e-commerce-trainer	KNOWLEDGE	nur B	Zahlungssysteme und Finanzen
03_e-commerce-trainer	KNOWLEDGE	nur B	Logistik und Fulfillment
03_e-commerce-trainer	KNOWLEDGE	nur B	Kundenservice und CRM
03_e-commerce-trainer	KNOWLEDGE	nur B	Web-Controlling und Datenanalyse
04_produktmanager	SKILL	nur A	Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung
04_produktmanager	SKILL	nur A	Mitwirkung an Produktstrategie , Roadmaps und Business Cases
04_produktmanager	SKILL	nur A	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios
04_produktmanager	SKILL	nur A	Optimierung von Go-to-Market-Prozessen
04_produktmanager	SKILL	nur A	Fundiertes Verständnis für Produktstrategie , Marktmechaniken , technische Produktentwicklung und Business Cases
04_produktmanager	SKILL	nur A	Übersetzung von Anforderungen in umsetzbare Produktlösungen
04_produktmanager	SKILL	nur A	Strategische und zugleich pragmatische Arbeitsweise
04_produktmanager	SKILL	nur A	Sehr ausgeprägte kommunikative Fähigkeiten
04_produktmanager	SKILL	nur A	Projekte selbstständig zu übernehmen und voranzutreiben
04_produktmanager	SKILL	nur B	gestaltest du die Weiterentwicklung unserer Produkte an der Schnittstelle von Markt , Kund : innen , Vertrieb , Entwicklung und Produktion
04_produktmanager	SKILL	nur B	Du übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen , priorisierst Features und begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung
04_produktmanager	SKILL	nur B	arbeitest du eigenverantwortlich , datenbasiert und pragmatisch – mit dem Ziel , unsere Produkte technisch , wirtschaftlich und marktseitig kontinuierlich weiterzuentwickeln
04_produktmanager	SKILL	nur B	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung
04_produktmanager	SKILL	nur B	Mitwirkung an Produktstrategie , Roadmaps und Business Cases auf Basis definierter Ziele und KPIs
04_produktmanager	SKILL	nur B	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios inklusive Build - , Improve - und Retire-Entscheidungen
04_produktmanager	SKILL	nur B	Unterstützung reibungsloser Abläufe zwischen Produktmanagement , Entwicklung , Produktion und Vertrieb
04_produktmanager	SKILL	nur B	Mitwirkung an der Optimierung von Go-to-Market-Prozessen
04_produktmanager	SKILL	nur B	Arbeit mit technischen Teams sowie in der Übersetzung von Anforderungen in umsetzbare Produktlösungen
04_produktmanager	SKILL	nur B	Strategische und zugleich pragmatische Arbeitsweise mit der Fähigkeit , Vision und Umsetzung in Einklang zu bringen
04_produktmanager	SKILL	nur B	Sehr ausgeprägte kommunikative Fähigkeiten sowie die Fähigkeit , Projekte selbstständig zu übernehmen und voranzutreiben
04_produktmanager	KNOWLEDGE	nur A	Produktstrategie
04_produktmanager	KNOWLEDGE	nur A	technische Produktentwicklung
04_produktmanager	KNOWLEDGE	nur A	Go-to-Market
04_produktmanager	KNOWLEDGE	nur A	Business Cases
04_produktmanager	KNOWLEDGE	nur A	Produktmanagement
04_produktmanager	KNOWLEDGE	nur A	Produktstrategie
04_produktmanager	KNOWLEDGE	nur A	Marktmechaniken
04_produktmanager	KNOWLEDGE	nur A	technische Produktentwicklung
04_produktmanager	KNOWLEDGE	nur A	Business Cases
04_produktmanager	KNOWLEDGE	nur B	Produktportfolio
04_produktmanager	KNOWLEDGE	nur B	KPIs
04_produktmanager	KNOWLEDGE	nur B	Produktmanagement
04_produktmanager	KNOWLEDGE	nur B	Go-to-Market-Prozessen
04_produktmanager	KNOWLEDGE	nur B	Produktperformance
04_produktmanager	KNOWLEDGE	nur B	IoT -
04_produktmanager	KNOWLEDGE	nur B	SaaS -
04_produktmanager	KNOWLEDGE	nur B	Energie -
04_produktmanager	KNOWLEDGE	nur B	Funktechnologie-nahen Umfeld
04_produktmanager	KNOWLEDGE	nur B	Produktstrategie , Marktmechaniken , technische Produktentwicklung und Business Cases
05_marketing-allrounder-seo	SKILL	nur A	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website
05_marketing-allrounder-seo	SKILL	nur A	Aufbau und Pflege von Backlinks
05_marketing-allrounder-seo	SKILL	nur A	Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern
05_marketing-allrounder-seo	SKILL	nur B	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website , insbesondere im Bereich SEO ( On-Page , technisches SEO , Content-Strategie )
05_marketing-allrounder-seo	SKILL	nur B	Aufbau und Pflege von Backlinks sowie Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern
05_marketing-allrounder-seo	SKILL	nur B	Unterstützung bei der Positionierung unserer Standorte Berlin und Hamburg
05_marketing-allrounder-seo	SKILL	nur B	Enge Zusammenarbeit mit der Geschäftsführung zur Umsetzung unserer Wachstumsstrategie
05_marketing-allrounder-seo	KNOWLEDGE	nur B	Backlinks
05_marketing-allrounder-seo	KNOWLEDGE	nur B	Website - und Social-Media-Inhalten
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Zusammenarbeit im multiprofessionellen Team
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Strukturierte und zuverlässige Arbeitsweise
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Sie arbeiten in einem multiprofessionellen Team am Standort Harburg
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung in enger Kooperation mit dem ärztlichen , therapeutischen und pflegerischen Team
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Strukturierte und zuverlässige Arbeitsweise sowie lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	nur B	sozialrechtlichen Fragestellungen
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	nur B	psychischen Erkrankungen
07_heilerziehungspfleger	SKILL	nur A	Gestaltung von pädagogischen Angeboten
07_heilerziehungspfleger	SKILL	nur A	Elternarbeit
07_heilerziehungspfleger	SKILL	nur A	Dokumentation
07_heilerziehungspfleger	SKILL	nur A	Entwicklungsbegleitung
07_heilerziehungspfleger	SKILL	nur A	Teamfähigkeit
07_heilerziehungspfleger	SKILL	nur A	Kreativität
07_heilerziehungspfleger	SKILL	nur A	Zuverlässigkeit
07_heilerziehungspfleger	SKILL	nur A	Einfühlungsvermögen
07_heilerziehungspfleger	SKILL	nur A	Gute Kommunikationsfähigkeit
07_heilerziehungspfleger	SKILL	nur B	Gestaltung von pädagogischen Angeboten gemeinsam mit Deinen Kollegen
07_heilerziehungspfleger	SKILL	nur B	Elternarbeit , Dokumentation und Entwicklungsbegleitung
07_heilerziehungspfleger	SKILL	nur B	Teamfähigkeit , Kreativität , Zuverlässigkeit und Einfühlungsvermögen
07_heilerziehungspfleger	SKILL	nur B	Kommunikationsfähigkeit
07_heilerziehungspfleger	KNOWLEDGE	nur B	Krippen - oder Elementarbereich
08_sozialpaedagogische-assistenz-krippe	SKILL	nur A	leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern
08_sozialpaedagogische-assistenz-krippe	SKILL	nur A	betreust diese alters - und zielgruppenspezifisch
08_sozialpaedagogische-assistenz-krippe	SKILL	nur B	Du leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern und betreust diese alters - und zielgruppenspezifisch
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	Kinderbetreuung
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	herzlich , engagiert , offen und ein echter Teamplayer
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	vertrauensvolle Bezugsperson
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du berücksichtigst das Konzept des jeweiligen Kita oder Kindergarten und setzt dieses aktiv in deiner Arbeit um
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du bist herzlich , engagiert , offen und ein echter Teamplayer
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du findest schnell Anschluss und bringst dich motiviert in dem vielfältigen Kitaalltag ein
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	ganzheitliche Pflege im Rahmen des Pflegeprozesses
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	Medikamentenmanagement
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	führst Pflegevisiten durch
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	berätst und motivierst die von dir begleiteten Menschen im Alltag
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	Zusammenarbeit in einem multiprofessionellen Team
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	begleitest Menschen mit Behinderung in Pflege und Alltag
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du übernimmst die ganzheitliche Pflege im Rahmen des Pflegeprozesses
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du kümmerst dich um das Medikamentenmanagement und führst Pflegevisiten durch
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du berätst und motivierst die von dir begleiteten Menschen im Alltag
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Arbeit mit Menschen mit Behinderung
10_pflegefachkraft-senator-neumann-haus	KNOWLEDGE	nur B	Medikamentenmanagement
11_mechatroniker	SKILL	nur A	montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb
11_mechatroniker	SKILL	nur A	stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen
11_mechatroniker	SKILL	nur A	programmierst und konfigurierst Steuerungen und Software
11_mechatroniker	SKILL	nur A	führst Messungen , Prüfungen und Fehlerdiagnosen durch
11_mechatroniker	SKILL	nur A	übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen
11_mechatroniker	SKILL	nur A	liest technische Zeichnungen sowie Schalt - und Montagepläne
11_mechatroniker	SKILL	nur A	Einweisung der Anwender in die Bedienung
11_mechatroniker	SKILL	nur A	Kundenbetreuung
11_mechatroniker	SKILL	nur A	dokumentierst deine Arbeit sorgfältig und nachvollziehbar
11_mechatroniker	SKILL	nur A	stabiles technisches Verständnis
11_mechatroniker	SKILL	nur A	handwerklich geschickt , lösungsorientiert und zuverlässig
11_mechatroniker	SKILL	nur B	Du montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb
11_mechatroniker	SKILL	nur B	Du stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen
11_mechatroniker	SKILL	nur B	Du programmierst und konfigurierst Steuerungen und Software – und testest sie auf Herz und Nieren
11_mechatroniker	SKILL	nur B	Du führst Messungen , Prüfungen und Fehlerdiagnosen durch
11_mechatroniker	SKILL	nur B	Du übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen
11_mechatroniker	SKILL	nur B	Du liest technische Zeichnungen sowie Schalt - und Montagepläne – und setzt sie gekonnt um
11_mechatroniker	SKILL	nur B	Du kümmerst dich um die Einweisung der Anwender in die Bedienung und übernimmst bei Bedarf die Kundenbetreuung
11_mechatroniker	SKILL	nur B	Du dokumentierst deine Arbeit sorgfältig und nachvollziehbar
11_mechatroniker	SKILL	nur B	Umgang mit Steuerungs - und Automatisierungstechnik sowie Mess - und Diagnosesystemen
11_mechatroniker	SKILL	nur B	stabiles technisches Verständnis , bist handwerklich geschickt , lösungsorientiert und zuverlässig
11_mechatroniker	SKILL	nur B	Du sprichst gut Deutsch
12_softwareentwickler	SKILL	nur A	Entwicklung und Betrieb einer modernen , cloudbasierten Plattform zur Digitalisierung interner Verwaltungsprozesse
12_softwareentwickler	SKILL	nur A	Optimierung der Entwicklungs - , Test - und Produktionsumgebungen
12_softwareentwickler	SKILL	nur A	Sicherstellung eines stabilen , sicheren und skalierbaren Betriebs
12_softwareentwickler	SKILL	nur A	Eigenverantwortliche Weiterentwicklung fachlicher und technischer Lösungskonzepte
12_softwareentwickler	SKILL	nur A	Aktive Mitgestaltung der Cloud-Architektur und digitalen Plattformen
12_softwareentwickler	SKILL	nur A	Hohes Maß an Selbstständigkeit , Verantwortungsbewusstsein und Teamfähigkeit
12_softwareentwickler	SKILL	nur B	Entwicklung und Betrieb einer modernen , cloudbasierten Plattform zur Digitalisierung interner Verwaltungsprozesse in enger Zusammenarbeit mit dem Team
12_softwareentwickler	SKILL	nur B	Optimierung der Entwicklungs - , Test - und Produktionsumgebungen sowie Sicherstellung eines stabilen , sicheren und skalierbaren Betriebs in Abstimmung mit deinem Team
12_softwareentwickler	SKILL	nur B	Eigenverantwortliche Weiterentwicklung fachlicher und technischer Lösungskonzepte – von der Idee bis zur Umsetzung
12_softwareentwickler	SKILL	nur B	Aktive Mitgestaltung der Cloud-Architektur und digitalen Plattformen durch das Einbringen eigener Ideen
12_softwareentwickler	SKILL	nur B	Selbstständigkeit , Verantwortungsbewusstsein und Teamfähigkeit
12_softwareentwickler	SKILL	nur B	Fließende Deutschkenntnisse in Wort und Schrift
12_softwareentwickler	KNOWLEDGE	nur A	Infrastructure as Code
12_softwareentwickler	KNOWLEDGE	nur A	Cloud-Technologien
12_softwareentwickler	KNOWLEDGE	nur A	Clean Code
12_softwareentwickler	KNOWLEDGE	nur A	moderne Architekturen
12_softwareentwickler	KNOWLEDGE	nur A	KI
12_softwareentwickler	KNOWLEDGE	nur A	Grafana Cloud
12_softwareentwickler	KNOWLEDGE	nur A	Kubernetes
12_softwareentwickler	KNOWLEDGE	nur A	AWS
12_softwareentwickler	KNOWLEDGE	nur A	Terraform
12_softwareentwickler	KNOWLEDGE	nur A	Crossplane
12_softwareentwickler	KNOWLEDGE	nur A	ArgoCD
12_softwareentwickler	KNOWLEDGE	nur A	Tilt
12_softwareentwickler	KNOWLEDGE	nur A	Atlas MongoDB
12_softwareentwickler	KNOWLEDGE	nur A	Spring Boot
12_softwareentwickler	KNOWLEDGE	nur A	Java
12_softwareentwickler	KNOWLEDGE	nur A	Softwareentwicklung
12_softwareentwickler	KNOWLEDGE	nur A	DevOps
12_softwareentwickler	KNOWLEDGE	nur A	Java
12_softwareentwickler	KNOWLEDGE	nur A	Cloud-Technologien
12_softwareentwickler	KNOWLEDGE	nur A	Automatisierung
12_softwareentwickler	KNOWLEDGE	nur B	Build - , Test - und Deployment-Workflows
13_fachinformatiker-systemintegration	SKILL	nur A	Administration und Wartung der IT-Systeme unserer Kunden
13_fachinformatiker-systemintegration	SKILL	nur A	Kundensupport und technische Beratung
13_fachinformatiker-systemintegration	SKILL	nur B	Administration und Wartung der IT-Systeme unserer Kunden ( Server , Netzwerke , Clients )
13_fachinformatiker-systemintegration	SKILL	nur B	Kundensupport und technische Beratung in Bezug auf IT-Projekte und alltägliche Herausforderungen
13_fachinformatiker-systemintegration	KNOWLEDGE	nur A	Backup
13_fachinformatiker-systemintegration	KNOWLEDGE	nur A	Microsoft 365
13_fachinformatiker-systemintegration	KNOWLEDGE	nur A	VMware
13_fachinformatiker-systemintegration	KNOWLEDGE	nur A	Hyper-V
13_fachinformatiker-systemintegration	KNOWLEDGE	nur A	Firewall
13_fachinformatiker-systemintegration	KNOWLEDGE	nur B	IT-Systeme
13_fachinformatiker-systemintegration	KNOWLEDGE	nur B	Hardware
13_fachinformatiker-systemintegration	KNOWLEDGE	nur B	Software
13_fachinformatiker-systemintegration	KNOWLEDGE	nur B	Backup - und Wiederherstellungsprozessen
13_fachinformatiker-systemintegration	KNOWLEDGE	nur B	Cyberbedrohungen
14_it-support	SKILL	nur B	Gute Deutschkenntnisse
14_it-support	SKILL	nur B	Unterstützung bei technischen Anfragen im IT Umfeld
14_it-support	KNOWLEDGE	nur B	Anwenderumfeld
14_it-support	KNOWLEDGE	nur B	Hard und Softwareproblemen
14_it-support	KNOWLEDGE	nur B	Windows
14_it-support	KNOWLEDGE	nur B	Software
14_it-support	KNOWLEDGE	nur B	Betriebssystemen
15_data-engineer	SKILL	nur A	Konzeption , Umsetzung und dem Betrieb unserer modernen On-Premises-Lakehouse-Architektur
15_data-engineer	SKILL	nur A	entwickeln , betreiben und optimieren ETL - bzw . Datenpipelines zur Integration und Verarbeitung unterschiedlicher Datenquellen
15_data-engineer	SKILL	nur A	Weiterentwicklung und Modernisierung bestehender Data-Warehouse-Strukturen
15_data-engineer	SKILL	nur A	stellen eine hohe Datenqualität und Datenverfügbarkeit sicher
15_data-engineer	SKILL	nur A	übersetzen Sie fachliche Anforderungen in praktikable Datenlösungen
15_data-engineer	SKILL	nur B	wirken Sie an der Weiterentwicklung unserer Datenlandschaft mit und schaffen eine zuverlässige Grundlage für die datengetriebene Arbeit der Fachbereiche
15_data-engineer	SKILL	nur B	Sie wirken bei der Konzeption , Umsetzung und dem Betrieb unserer modernen On-Premises-Lakehouse-Architektur mit
15_data-engineer	SKILL	nur B	Sie entwickeln , betreiben und optimieren ETL - bzw . Datenpipelines zur Integration und Verarbeitung unterschiedlicher Datenquellen
15_data-engineer	SKILL	nur B	Sie unterstützen die Weiterentwicklung und Modernisierung bestehender Data-Warehouse-Strukturen , unter anderem im Snowflake-Umfeld
15_data-engineer	SKILL	nur B	Sie stellen eine hohe Datenqualität und Datenverfügbarkeit sicher und identifizieren Optimierungsmöglichkeiten
15_data-engineer	SKILL	nur B	Gemeinsam mit den Fachbereichen übersetzen Sie fachliche Anforderungen in praktikable Datenlösungen
15_data-engineer	SKILL	nur B	bringen Sie sich in angrenzende Entwicklungs - und DevOps-Themen ein
15_data-engineer	SKILL	nur B	Umgang mit Linux , GitLab oder Oracle
15_data-engineer	SKILL	nur B	Gute Deutsch - und Englischkenntnisse
15_data-engineer	KNOWLEDGE	nur A	Datenarchitekturen
15_data-engineer	KNOWLEDGE	nur A	DevOps-Themen
15_data-engineer	KNOWLEDGE	nur A	Datenpipelines
15_data-engineer	KNOWLEDGE	nur A	Data-Warehouse
15_data-engineer	KNOWLEDGE	nur A	Lakehouse-Architekturen
15_data-engineer	KNOWLEDGE	nur A	Snowflake
15_data-engineer	KNOWLEDGE	nur A	Deutsch - und Englischkenntnisse
15_data-engineer	KNOWLEDGE	nur B	Datenlandschaft
15_data-engineer	KNOWLEDGE	nur B	Data-Warehouse - oder Lakehouse-Architekturen
15_data-engineer	KNOWLEDGE	nur B	Deutsch
15_data-engineer	KNOWLEDGE	nur B	Englischkenntnisse
16_marketing-manager-hotel	SKILL	nur A	Planung , Koordination und Steuerung integrierter Marketingkampagnen
16_marketing-manager-hotel	SKILL	nur A	Entwicklung innovativer Konzepte zur Umsatzsteigerung und Gästebindung
16_marketing-manager-hotel	SKILL	nur A	Planung und Umsetzung von Presseveranstaltungen , Hotel-Events und Marketingaktivierungen
16_marketing-manager-hotel	SKILL	nur A	Analyse von Markt - und Wettbewerbstrends sowie Identifikation neuer Potenziale
16_marketing-manager-hotel	SKILL	nur A	Führung und Entwicklung des Sales & Marketing Coordinators
16_marketing-manager-hotel	SKILL	nur A	arbeitest strukturiert , eigenverantwortlich
16_marketing-manager-hotel	SKILL	nur A	kommunizierst souverän in deutscher und englischer Sprache
16_marketing-manager-hotel	SKILL	nur B	Planung , Koordination und Steuerung integrierter Marketingkampagnen für Rooms , Food & Beverage , Meetings & Events sowie weitere Hotelbereiche
16_marketing-manager-hotel	SKILL	nur B	Entwicklung innovativer Konzepte zur Umsatzsteigerung und Gästebindung in enger Zusammenarbeit mit dem Director of Sales & Marketing
16_marketing-manager-hotel	SKILL	nur B	Unterstützung bei der Planung und Umsetzung von Presseveranstaltungen , Hotel-Events und Marketingaktivierungen
16_marketing-manager-hotel	SKILL	nur B	Analyse von Markt - und Wettbewerbstrends sowie Identifikation neuer Potenziale zur Weiterentwicklung der Marketingaktivitäten
16_marketing-manager-hotel	SKILL	nur B	Führung und Entwicklung des Sales & Marketing Coordinators sowie der Dualen Studenten und Auszubildenden
16_marketing-manager-hotel	SKILL	nur B	Du arbeitest strukturiert , eigenverantwortlich und behältst auch bei mehreren Projekten gleichzeitig den Überblick
16_marketing-manager-hotel	SKILL	nur B	Du kommunizierst souverän in deutscher und englischer Sprache – sowohl mündlich als auch schriftlich
16_marketing-manager-hotel	SKILL	nur B	Umgang mit Microsoft Office sowie gängigen Marketing - und Analysetools
16_marketing-manager-hotel	KNOWLEDGE	nur B	Marketingstrategien
16_marketing-manager-hotel	KNOWLEDGE	nur B	Marketingkampagnen
16_marketing-manager-hotel	KNOWLEDGE	nur B	Marketing
16_marketing-manager-hotel	KNOWLEDGE	nur B	Content-Maßnahmen
16_marketing-manager-hotel	KNOWLEDGE	nur B	Social-Media-Kanäle
16_marketing-manager-hotel	KNOWLEDGE	nur B	Hotellerie - , Tourismus - oder Lifestyle-Branche
16_marketing-manager-hotel	KNOWLEDGE	nur B	Marriott-Umfeld
17_sachbearbeitung-fes	SKILL	nur A	Organisatorische Vor - und Nachbereitung von Maßnahmen der politischen Bildung und Beratung
17_sachbearbeitung-fes	SKILL	nur A	Gute Team - und Kommunikationsfähigkeit
17_sachbearbeitung-fes	SKILL	nur B	Organisatorische Vor - und Nachbereitung von Maßnahmen der politischen Bildung und Beratung in Sachsen-Anhalt inklusive Online-Formaten
17_sachbearbeitung-fes	SKILL	nur B	Team - und Kommunikationsfähigkeit
17_sachbearbeitung-fes	SKILL	nur B	Umgang mit Content Management Systemen , Videokonferenzsystemen sowie mit Social-Media
17_sachbearbeitung-fes	KNOWLEDGE	nur A	EDV-Kenntnisse
17_sachbearbeitung-fes	KNOWLEDGE	nur A	Social-Media
17_sachbearbeitung-fes	KNOWLEDGE	nur B	politischen Bildung
17_sachbearbeitung-fes	KNOWLEDGE	nur B	Online-Formaten
18_buchhaltung-aurea	SKILL	nur A	Prüfung von Steuerbescheiden für deutsche Gesellschaften
18_buchhaltung-aurea	SKILL	nur A	Sicherstellung termingerechter Vorauszahlungen
