kategorie	id	gold_span	vorhersage	satz	notiz	befund
uebersehen	test_153	Zusammenarbeit im multiprofessionellen Team		- Bereitschaft zur Zusammenarbeit im multiprofessionellen Team	Substantivierung in Rahmen „Bereitschaft zur“ übersehen	UE: Substantivierung
uebersehen	test_558	Entgegennahme von eingehenden Telefonaten		Sie führen als Sicherheitskraft ( m/w/d ) Tätigkeiten wie zum Beispiel Kontrollgänge , Entgegennahme von eingehenden Telefonaten und Auf - und Verschluss durch	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_453	Blutdruck - , Puls - und Blutzuckerkontrolle		Mobilisation , Medikamentengabe , Wundversorgung , Blutdruck - , Puls - und Blutzuckerkontrolle , Portversorgung etc . )	Bindestrich-Ellipse übersehen	UE: Ellipse/Kompositum
uebersehen	test_328	Dokumentation aller Vorgänge im Ticketsystem		- Dokumentation aller Vorgänge im Ticketsystem	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_529	Aktive Mitwirkung an HR-Projekten zur kontinuierlichen Optimierung der Arbeitsabläufe		- Aktive Mitwirkung an HR-Projekten zur kontinuierlichen Optimierung der Arbeitsabläufe	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_13	Enge Zusammenarbeit mit Vertrieb und weiteren internen Fachbereichen		- Enge Zusammenarbeit mit Vertrieb und weiteren internen Fachbereichen	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_388	Finanzsachbearbeitung , Haushaltsplanung und - kontrolle		- Finanzsachbearbeitung , Haushaltsplanung und - kontrolle	Bindestrich-Ellipse übersehen	UE: Ellipse/Kompositum
uebersehen	test_558	Auf - und Verschluss		Sie führen als Sicherheitskraft ( m/w/d ) Tätigkeiten wie zum Beispiel Kontrollgänge , Entgegennahme von eingehenden Telefonaten und Auf - und Verschluss durch	Bindestrich-Ellipse übersehen	UE: Ellipse/Kompositum
uebersehen	test_515	Ansprechpartner für die Terminverfolgung		- Ansprechpartner für die Terminverfolgung	Nominalphrase übersehen	UE: sonstige Nominalphrase
uebersehen	test_453	Medikamentengabe		Mobilisation , Medikamentengabe , Wundversorgung , Blutdruck - , Puls - und Blutzuckerkontrolle , Portversorgung etc . )	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_170	Kinder gerne in ihrer Entwicklung unterstützt		- Dass Du mit viel Freude in Deinem Beruf bist und Kinder gerne in ihrer Entwicklung unterstützt	Verbalphrase übersehen	UE: verbal
uebersehen	test_32	Bildbearbeitung mit Adobe Photoshop CC		- Bildbearbeitung mit Adobe Photoshop CC	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_180	leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern		- Du leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern und betreust diese alters - und zielgruppenspezifisch .	Verbalphrase übersehen	UE: verbal
uebersehen	test_70	Weiterentwicklung unserer Produkte		Als Produktmanager : in gestaltest du die Weiterentwicklung unserer Produkte an der Schnittstelle von Markt , Kund : innen , Vertrieb , Entwicklung und Produktion .	Substantivierung in Rahmen „gestaltest du die“ übersehen	UE: Substantivierung
uebersehen	test_487	Mitwirkung an der Weiterentwicklung konzeptioneller Angebote der Mobilen Beratung		- Mitwirkung an der Weiterentwicklung konzeptioneller Angebote der Mobilen Beratung .	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_214	führst Pflegevisiten durch		- Du kümmerst dich um das Medikamentenmanagement und führst Pflegevisiten durch	Verbalphrase übersehen	UE: verbal
uebersehen	test_173	Entwicklungsbegleitung		- Gute Fähigkeiten und Kenntnisse in der Elternarbeit , Dokumentation und Entwicklungsbegleitung	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_205	motiviert		- Du findest schnell Anschluss und bringst dich motiviert in dem vielfältigen Kitaalltag ein	Adjektiv übersehen	UE: Soft Skill
uebersehen	test_545	Zusammenarbeit mit dem Betriebsrat		- Sie wirken unterstützend bei der Zusammenarbeit mit dem Betriebsrat mit	Substantivierung in Rahmen „wirken … mit“ übersehen	UE: Substantivierung
uebersehen	test_261	Entwicklung und Betrieb einer modernen , cloudbasierten Plattform zur Digitalisierung interner Verwaltungsprozesse		- Entwicklung und Betrieb einer modernen , cloudbasierten Plattform zur Digitalisierung interner Verwaltungsprozesse in enger Zusammenarbeit mit dem Team	Substantivierung übersehen	UE: Substantivierung
falscher Alarm	test_266		Einbringen eigener Ideen	- Aktive Mitgestaltung der Cloud-Architektur und digitalen Plattformen durch das Einbringen eigener Ideen	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_284		, maßgeschneiderte IT-Lösungen zu entwickeln und umzusetzen	Wenn du Lust hast , maßgeschneiderte IT-Lösungen zu entwickeln und umzusetzen , dann bist du bei uns genau richtig .	Span beginnt mit Komma	FA: beginnt mit Komma
falscher Alarm	test_117		Freude an vielseitigen Aufgaben	- Selbstständige , strukturierte Arbeitsweise und Freude an vielseitigen Aufgaben	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_438		Mitarbeit an Projekten	- Mitarbeit an Projekten zur Weiterentwicklung und Optimierung des Investitionscontrollings	Rahmen statt Inhalt (Gold: Zeile 3)	FA: Rahmen statt Inhalt
falscher Alarm	test_198		liebevoller Begleiter	- Du bist liebevoller Begleiter , Vorbild , Zuhörer , Geschichten-Erzähler , und baust eine liebevolle entwicklungsfördernde Beziehung zu den Kindern auf	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_224		Arbeit mit Menschen	- Freude an der Arbeit mit Menschen	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_256		Qualitätsbewusstsein	Qualitätsbewusstsein und der Wille , sich kontinuierlich weiterzuentwickeln – nicht das Beherrschen aller	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_255		Lernbereitschaft	Entscheidend sind Lernbereitschaft ,	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_576		unterstützen Projekte	- Sie unterstützen Projekte durch die Durchführung einfacher technischer Berechnungen , beispielsweise zu Gewicht , Materialeinsatz oder Volumen	Rahmen statt Inhalt („durch die Durchführung …“)	FA: Rahmen statt Inhalt
falscher Alarm	test_47		Konzipierung , Gestaltung und praktischen Umsetzung von Internet - Auftritten	Sie unterrichten Personen , die bei der Konzipierung , Gestaltung und praktischen Umsetzung von Internet - Auftritten mit E-Commerce-Funktionen verantwortlich mitwirken und die dafür notwendigen Kenntnisse und Fähigkeiten erwerben wollen .	beschreibt Zielgruppe, nicht Bewerber	FA: falscher Bezug
falscher Alarm	test_308		, IT Probleme schnell zu lösen und den Betrieb stabil	Dann werde IT Supporter ( m/w/d ) in Hamburg und hilf dabei , IT Probleme schnell zu lösen und den Betrieb stabil zu halten .	Span beginnt mit Komma	FA: beginnt mit Komma
falscher Alarm	test_107		engagierte	Zur Verstärkung unseres Teams suchen wir eine engagierte Marketing-Persönlichkeit , die unsere Sichtbarkeit online wie offline gezielt ausbaut .	Adjektiv im Stellentitel	FA: Adjektiv
falscher Alarm	test_411		Mitarbeit an Projekten	- Mitarbeit an Projekten zur Optimierung von Geschäftsprozessen und Umsetzung gesetzlicher Neuerungen	Rahmen statt Inhalt	FA: Rahmen statt Inhalt
falscher Alarm	test_307		möchtest Anwender im IT Alltag unterstützen	Du möchtest Anwender im IT Alltag unterstützen und dafür sorgen , dass Technik einfach funktioniert ?	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_83		definierter Ziele und KPIs	- Mitwirkung an Produktstrategie , Roadmaps und Business Cases auf Basis definierter Ziele und KPIs	Fragment, kein Skill	FA: Fragment
zu kurz	test_484	Aufbau und Pflege von Kontakten zu Kindern und Jugendlichen im öffentlichen Raum	Aufbau und Pflege von Kontakten zu Kindern und Jugendlichen	- Aufbau und Pflege von Kontakten zu Kindern und Jugendlichen im öffentlichen Raum ,	bricht vor „im“ ab	ZK: bricht vor Präposition ab
zu kurz	test_145	Umfassende Beratung und Unterstützung der Patient : innen und deren Angehörigen in sozialrechtlichen Fragestellungen	Beratung und Unterstützung	- Umfassende Beratung und Unterstützung der Patient : innen und deren Angehörigen in sozialrechtlichen Fragestellungen	beidseitig: „Umfassende“ und „der …“ fehlen	ZK: bricht vor Genitiv ab
zu kurz	test_415	Buchung und Bewertung von Rückstellungen sowie Wertberichtigungen nach HGB	Buchung und Bewertung von Rückstellungen sowie Wertberichtigungen	- Buchung und Bewertung von Rückstellungen sowie Wertberichtigungen nach HGB	bricht vor „nach“ ab	ZK: bricht vor Präposition ab
zu kurz	test_417	Kontrolle von Betriebskosten und Buchungen auf Sachkostenebene	Kontrolle von Betriebskosten und Buchungen	- Analyse von Finanzdaten sowie Kontrolle von Betriebskosten und Buchungen auf Sachkostenebene	bricht vor „auf“ ab	ZK: bricht vor Präposition ab
zu kurz	test_573	wählen geeignete Bauteile sowie Halbzeuge unter technischen und wirtschaftlichen Gesichtspunkten aus	wählen geeignete Bauteile sowie Halbzeuge	- Sie entwickeln technische Detaillösungen und wählen geeignete Bauteile sowie Halbzeuge unter technischen und wirtschaftlichen Gesichtspunkten aus	bricht vor „unter“ ab	ZK: bricht vor Präposition ab
zu kurz	test_410	Erstellung und Abgabe von Umsatzsteuervoranmeldungen , Zusammenfassenden Meldungen , Intrastat-Meldungen sowie Kundenlistenjahresmeldungen	Erstellung und Abgabe von Umsatzsteuervoranmeldungen	- Erstellung und Abgabe von Umsatzsteuervoranmeldungen , Zusammenfassenden Meldungen , Intrastat-Meldungen sowie Kundenlistenjahresmeldungen	bricht vor Komma ab	ZK: bricht vor Komma ab
zu kurz	test_229	montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	montierst , installierst und nimmst mechatronische Systeme und Anlagen	- Du montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	Verbklammer zerrissen, Partikel fehlt	ZK: Verbklammer
zu kurz	test_341	entwickeln , betreiben und optimieren ETL - bzw . Datenpipelines zur Integration und Verarbeitung unterschiedlicher Datenquellen	entwickeln , betreiben und optimieren ETL - bzw . Datenpipelines	- Sie entwickeln , betreiben und optimieren ETL - bzw . Datenpipelines zur Integration und Verarbeitung unterschiedlicher Datenquellen .	bricht vor „zur“ ab	ZK: bricht vor Präposition ab
zu kurz	test_113	Beobachtung von Wettbewerb und Markttrends sowie datenbasierte Ableitung von Handlungsempfehlungen	Beobachtung von Wettbewerb und Markttrends	- Beobachtung von Wettbewerb und Markttrends sowie datenbasierte Ableitung von Handlungsempfehlungen	bricht vor „sowie“ ab	ZK: bricht vor und/sowie ab
zu kurz	test_208	begleitest Menschen mit Behinderung in Pflege und Alltag	begleitest Menschen mit Behinderung	arbeitest du im Senator-Neumann-Haus und begleitest Menschen mit Behinderung in Pflege und Alltag .	bricht vor „in“ ab	ZK: bricht vor Präposition ab
zu kurz	test_513	Angebote und Exportdokumente erstellen	erstellen	- Angebote und Exportdokumente erstellen ( Maschinen , Ersatzteile etc . )	Objekt vor Verb (links) fehlt	ZK: Objekt links weg
zu kurz	test_147	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung	Beratung von Patient	- Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung in enger Kooperation mit dem ärztlichen , therapeutischen und pflegerischen Team	bricht am Gender-Doppelpunkt ab	ZK: Gender-Doppelpunkt
zu kurz	test_386	Organisatorische Vor - und Nachbereitung von Maßnahmen der politischen Bildung und Beratung	Organisatorische Vor - und Nachbereitung von Maßnahmen	- Organisatorische Vor - und Nachbereitung von Maßnahmen der politischen Bildung und Beratung in Sachsen-Anhalt inklusive Online-Formaten	bricht vor Genitiv „der“ ab	ZK: bricht vor Genitiv ab
zu kurz	test_369	Führung und Entwicklung des Sales & Marketing Coordinators sowie der Dualen Studenten und Auszubildenden	Führung und Entwicklung des Sales & Marketing Coordinators	- Führung und Entwicklung des Sales & Marketing Coordinators sowie der Dualen Studenten und Auszubildenden	bricht vor „sowie“ ab	ZK: bricht vor und/sowie ab
zu kurz	test_265	Umsetzung neuer fachlicher Anforderungen und technischer Schnittstellen in Java-basierten Microservices	Umsetzung neuer fachlicher Anforderungen und technischer Schnittstellen	- Umsetzung neuer fachlicher Anforderungen und technischer Schnittstellen in Java-basierten Microservices	bricht vor „in“ ab	ZK: bricht vor Präposition ab
zu kurz	test_6	Konzeption und Realisierung digitaler Maßnahmen zur Leadgenerierung und Vertriebsunterstützung im B2B-Umfeld	Konzeption und Realisierung digitaler Maßnahmen	- Konzeption und Realisierung digitaler Maßnahmen zur Leadgenerierung und Vertriebsunterstützung im B2B-Umfeld	bricht vor „zur“ ab	ZK: bricht vor Präposition ab
zu kurz	test_22	Gespür für zielgruppengerechte Kommunikation , überzeugende Texte und kreative Inhalte	Gespür für zielgruppengerechte Kommunikation	- Gespür für zielgruppengerechte Kommunikation , überzeugende Texte und kreative Inhalte	bricht vor Komma ab	ZK: bricht vor Komma ab
zu kurz	test_404	Planung der Liquidität und tägliche Überwachung der Bankkonten	Planung der Liquidität	- Planung der Liquidität und tägliche Überwachung der Bankkonten	bricht vor „und“ ab	ZK: bricht vor und/sowie ab
zu kurz	test_232	führst Messungen , Prüfungen und Fehlerdiagnosen durch	führst Messungen , Prüfungen und Fehlerdiagnosen	- Du führst Messungen , Prüfungen und Fehlerdiagnosen durch	Verbklammer zerrissen, Partikel fehlt	ZK: Verbklammer
zu kurz	test_323	Unterstützung von Anwendern im First und Second Level Support	Unterstützung von Anwendern	- Unterstützung von Anwendern im First und Second Level Support	bricht vor „im“ ab	ZK: bricht vor Präposition ab
zu kurz	test_376	kommunizierst souverän in deutscher und englischer Sprache	kommunizierst	- Du kommunizierst souverän in deutscher und englischer Sprache – sowohl mündlich als auch schriftlich	nur Verb übrig	ZK: nur Kern übrig
zu kurz	test_82	Priorisierung von Features und Abstimmung mit Entwicklung , Produktion , Vertrieb und weiteren Stakeholdern	Priorisierung von Features	- Priorisierung von Features und Abstimmung mit Entwicklung , Produktion , Vertrieb und weiteren Stakeholdern	bricht vor „und“ ab	ZK: bricht vor und/sowie ab
zu kurz	test_80	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte	- Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	bricht vor „von“ ab	ZK: bricht vor Präposition ab
zu kurz	test_406	Erstellung von Monats - , Quartals - und Jahresabschlüssen nach HGB	Erstellung von Monats - , Quartals - und Jahresabschlüssen	- Erstellung von Monats - , Quartals - und Jahresabschlüssen nach HGB ( Bilanz , GuV , BWA ) für deutsche und belgische Gesellschaften	bricht vor „nach“ ab	ZK: bricht vor Präposition ab
zu kurz	test_615	Technische Begleitung und Abnahme des verantworteten Lieferumfangs	Technische Begleitung	- Technische Begleitung und Abnahme des verantworteten Lieferumfangs sowie nationale und internationale Reisetätigkeit	bricht vor „und“ ab	ZK: bricht vor und/sowie ab
zu kurz	test_167	Ausflüge organisieren und begleiten	organisieren und begleiten	- Ausflüge organisieren und begleiten	Objekt vor Verb (links) fehlt	ZK: Objekt links weg
zu kurz	test_485	Beratung und Unterstützung von Kindern , Jugendlichen und jungen Erwachsenen in unterschiedlichen Lebenslagen	Beratung und Unterstützung von Kindern , Jugendlichen und jungen Erwachsenen	- Beratung und Unterstützung von Kindern , Jugendlichen und jungen Erwachsenen in unterschiedlichen Lebenslagen ,	bricht vor „in“ ab	ZK: bricht vor Präposition ab
zu kurz	test_362	Planung und Steuerung von Content-Maßnahmen für digitale Kanäle	Planung und Steuerung von Content-Maßnahmen	- Planung und Steuerung von Content-Maßnahmen für digitale Kanäle	bricht vor „für“ ab	ZK: bricht vor Präposition ab
zu kurz	test_197	förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	förderst die Kinder	- Du förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	bricht vor „im“ ab	ZK: bricht vor Präposition ab
zu kurz	test_434	Pflege und Verwaltung von Stammdaten für Investitionsprojekte	Pflege und Verwaltung von Stammdaten	- Pflege und Verwaltung von Stammdaten für Investitionsprojekte sowie bauliche Instandhaltungs - und Unterhaltungsmaßnahmen	bricht vor „für“ ab	ZK: bricht vor Präposition ab
zu lang	test_575	Import , die Prüfung und die Bearbeitung technischer Daten	übernehmen den Import , die Prüfung und die Bearbeitung technischer Daten	- Sie übernehmen den Import , die Prüfung und die Bearbeitung technischer Daten von externen Projektpartnern	Funktionsverb links dazu: „übernehmen den“	ZL: Funktionsverb links dazu
zu lang	test_300	kundenorientierte IT-Lösungen zu entwickeln	, kundenorientierte IT-Lösungen zu entwickeln	- Kommunikationsstärke und Freude daran , kundenorientierte IT-Lösungen zu entwickeln	beginnt mit Komma	ZL: beginnt mit Komma
zu lang	test_233	Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	- Du übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	Funktionsverb links dazu: „übernimmst die“	ZL: Funktionsverb links dazu
zu lang	test_476	Kinder im Alltag zu inspirieren und zu fördern	, Kinder im Alltag zu inspirieren und zu fördern	- Kreative Ideen und Freude daran , Kinder im Alltag zu inspirieren und zu fördern	beginnt mit Komma	ZL: beginnt mit Komma
zu lang	test_368	Identifikation neuer Potenziale	Identifikation neuer Potenziale zur Weiterentwicklung der Marketingaktivitäten	- Analyse von Markt - und Wettbewerbstrends sowie Identifikation neuer Potenziale zur Weiterentwicklung der Marketingaktivitäten	PP rechts dazu	ZL: Ergänzung rechts
zu lang	test_71	priorisierst Features	priorisierst Features und begleitest Produkte	Du übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen , priorisierst Features und begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung .	über „und“ verbunden	ZL: Koordination über und
zu lang	test_342	Weiterentwicklung und Modernisierung bestehender Data-Warehouse-Strukturen	unterstützen die Weiterentwicklung und Modernisierung bestehender Data-Warehouse-Strukturen	- Sie unterstützen die Weiterentwicklung und Modernisierung bestehender Data-Warehouse-Strukturen , unter anderem im Snowflake-Umfeld .	Funktionsverb links dazu: „unterstützen die“	ZL: Funktionsverb links dazu
zu lang	test_235	Einweisung der Anwender in die Bedienung	kümmerst dich um die Einweisung der Anwender in die Bedienung	- Du kümmerst dich um die Einweisung der Anwender in die Bedienung und übernimmst bei Bedarf die Kundenbetreuung	Funktionsverb links dazu: „kümmerst dich um die“	ZL: Funktionsverb links dazu
zu lang	test_429	ein Team zu leiten und zu entwickeln	, ein Team zu leiten und zu entwickeln	- Führungserfahrung und die Fähigkeit , ein Team zu leiten und zu entwickeln	beginnt mit Komma	ZL: beginnt mit Komma
zu lang	test_214	Medikamentenmanagement	kümmerst dich um das Medikamentenmanagement	- Du kümmerst dich um das Medikamentenmanagement und führst Pflegevisiten durch	Funktionsverb links dazu: „kümmerst dich um das“	ZL: Funktionsverb links dazu
verschoben	test_367	Planung und Umsetzung von Presseveranstaltungen , Hotel-Events und Marketingaktivierungen	Unterstützung bei der Planung und Umsetzung von Presseveranstaltungen	- Unterstützung bei der Planung und Umsetzung von Presseveranstaltungen , Hotel-Events und Marketingaktivierungen	Rahmen links dazu, bricht an Komma ab	VS: Rahmen dazu, rechts ab
verschoben	test_71	begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung	priorisierst Features und begleitest Produkte	Du übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen , priorisierst Features und begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung .	„und“-Nachbar links dazu, PP rechts weg	VS: Rahmen dazu, rechts ab
verschoben	test_213	ganzheitliche Pflege im Rahmen des Pflegeprozesses	übernimmst die ganzheitliche Pflege	- Du übernimmst die ganzheitliche Pflege im Rahmen des Pflegeprozesses	Funktionsverb dazu, bricht vor „im“ ab	VS: Rahmen dazu, rechts ab
zersplittert	test_264	Weiterentwicklung von CI/CD-Pipelines sowie Verbesserung von Build - , Test - und Deployment-Workflows	Weiterentwicklung von CI/CD-Pipelines | Verbesserung von Build - , Test - und Deployment-Workflows	- Weiterentwicklung von CI/CD-Pipelines sowie Verbesserung von Build - , Test - und Deployment-Workflows	Tätigkeiten an und/sowie/Komma zerteilt	ZS: an und/Komma zerteilt
zersplittert	test_475	Einfühlungsvermögen , Geduld und Verantwortungsbewusstsein	Geduld | Verantwortungsbewusstsein	- Einfühlungsvermögen , Geduld und Verantwortungsbewusstsein	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_377	Kreativität , Organisationsgeschick sowie ein hohes Maß an Eigeninitiative	Kreativität | Organisationsgeschick | Eigeninitiative	- Du überzeugst durch Kreativität , Organisationsgeschick sowie ein hohes Maß an Eigeninitiative	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_477	Teamfähigkeit , Zuverlässigkeit und eine wertschätzende Kommunikation	Teamfähigkeit | Zuverlässigkeit | Kommunikation	- Teamfähigkeit , Zuverlässigkeit und eine wertschätzende Kommunikation	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_455	Anleitung und Beratung von Angehörigen	Anleitung | Beratung von Angehörigen	- Anleitung und Beratung von Angehörigen	Tätigkeiten an und/sowie/Komma zerteilt	ZS: an und/Komma zerteilt
zersplittert	test_241	handwerklich geschickt	handwerklich | geschickt	- Du hast ein stabiles technisches Verständnis , bist handwerklich geschickt , lösungsorientiert und zuverlässig	ohne Trennzeichen zerteilt	ZS: sonstiges
zersplittert	test_537	Eigenständige und ergebnisorientierte Arbeitsweise	Eigenständige | ergebnisorientierte	- Eigenständige und ergebnisorientierte Arbeitsweise	Adjektivreihe zerteilt, Bezugsnomen fehlt	ZS: Adjektivreihe + Nomen
zersplittert	test_584	Teamfähigkeit sowie gute Kommunikationsfähigkeit	Teamfähigkeit | Kommunikationsfähigkeit	- Teamfähigkeit sowie gute Kommunikationsfähigkeit	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_502	Zuverlässigkeit , Sorgfalt , Verantwortungsbewusstsein , Flexibilität , Belastbarkeit und Teamfähigkeit	Zuverlässigkeit | Sorgfalt | Verantwortungsbewusstsein | Flexibilität | Belastbarkeit | Teamfähigkeit	- Zuverlässigkeit , Sorgfalt , Verantwortungsbewusstsein , Flexibilität , Belastbarkeit und Teamfähigkeit zeichnen Sie aus .	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_428	Analytisches Denkvermögen , strukturiertes Arbeiten und Zahlenaffinität	Analytisches Denkvermögen | strukturiertes Arbeiten	- Analytisches Denkvermögen , strukturiertes Arbeiten und Zahlenaffinität	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
zersplittert	test_96	Strategische und zugleich pragmatische Arbeitsweise	Strategische | pragmatische	- Strategische und zugleich pragmatische Arbeitsweise mit der Fähigkeit , Vision und Umsetzung in Einklang zu bringen	Adjektivreihe zerteilt, Bezugsnomen fehlt	ZS: Adjektivreihe + Nomen
zersplittert	test_289	Sicherstellung der IT-Sicherheit bei Kunden durch Implementierung von Firewall - , Backup - und Recovery-Lösungen	Sicherstellung der IT-Sicherheit bei Kunden | Implementierung von Firewall - , Backup - und Recovery-Lösungen	- Sicherstellung der IT-Sicherheit bei Kunden durch Implementierung von Firewall - , Backup - und Recovery-Lösungen	an „durch“ zerteilt	ZS: an Präposition zerteilt
zersplittert	test_478	Eigeninitiative sowie eine selbstständige und lösungsorientierte Arbeitsweise	Eigeninitiative | selbstständige | lösungsorientierte	- Eigeninitiative sowie eine selbstständige und lösungsorientierte Arbeitsweise	Adjektivreihe zerteilt, Bezugsnomen fehlt	ZS: Adjektivreihe + Nomen
zersplittert	test_23	Selbstständige , strukturierte und umsetzungsstarke Arbeitsweise	Selbstständige | strukturierte | umsetzungsstarke	- Selbstständige , strukturierte und umsetzungsstarke Arbeitsweise	Adjektivreihe zerteilt, Bezugsnomen fehlt	ZS: Adjektivreihe + Nomen
zersplittert	test_437	Durchführung von Statikprüfungen , Aktualisierung von Datenbeständen und kontinuierliche Pflege des SAP-PS-Systems	Durchführung von Statikprüfungen | Aktualisierung von Datenbeständen	- Durchführung von Statikprüfungen , Aktualisierung von Datenbeständen und kontinuierliche Pflege des SAP-PS-Systems	Tätigkeiten an und/sowie/Komma zerteilt	ZS: an und/Komma zerteilt
zersplittert	test_435	Laufende Aktualisierung und Überwachung von Projektständen inklusive Analyse von Abweichungen in SAP PS	Laufende Aktualisierung und Überwachung von Projektständen | Analyse von Abweichungen	- Laufende Aktualisierung und Überwachung von Projektständen inklusive Analyse von Abweichungen in SAP PS	an „inklusive“ zerteilt	ZS: an Präposition zerteilt
zersplittert	test_536	Ausgeprägte kommunikative Fähigkeiten und hohe soziale Kompetenz	kommunikative Fähigkeiten | soziale Kompetenz	- Ausgeprägte kommunikative Fähigkeiten und hohe soziale Kompetenz	Gold = ganze Soft-Skill-Liste, Modell einzeln	ZS: Liste als ein Gold-Span
