doc_id	layer	nur_bei	span	entscheidung	einigung	regel
03_e-commerce-trainer	KNOWLEDGE	nur A	Online-Marketing	übernommen	Online-Marketing	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Kundengewinnung	übernommen	Kundengewinnung	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Zahlungssysteme	übernommen	Zahlungssysteme	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Finanzen	übernommen	Finanzen	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Logistik	übernommen	Logistik	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Fulfillment	übernommen	Fulfillment	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Kundenservice	übernommen	Kundenservice	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	CRM	übernommen	CRM	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Web-Controlling	übernommen	Web-Controlling	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Datenanalyse	übernommen	Datenanalyse	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Grundlagen des E-Commerce	angepasst	[K] E-Commerce	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Online-Shop-Systeme und - Gestaltung	übernommen	Online-Shop-Systeme und - Gestaltung	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Künstliche Intelligenz ( KI ) im Arbeitsprozess	angepasst	[K] Künstliche Intelligenz ( KI )	R1
03_e-commerce-trainer	KNOWLEDGE	nur B	Online-Marketing und Kundengewinnung	angepasst	[K] Online-Marketing || [K] Kundengewinnung	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Zahlungssysteme und Finanzen	angepasst	[K] Zahlungssysteme || [K] Finanzen	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Logistik und Fulfillment	angepasst	[K] Logistik || [K] Fulfillment	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Kundenservice und CRM	angepasst	[K] Kundenservice || [K] CRM	R2
03_e-commerce-trainer	KNOWLEDGE	nur B	Web-Controlling und Datenanalyse	angepasst	[K] Web-Controlling || [K] Datenanalyse	R2
04_produktmanager	SKILL	nur A	Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	angepasst	[S] Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	R1
04_produktmanager	SKILL	nur A	Mitwirkung an Produktstrategie , Roadmaps und Business Cases	übernommen	Mitwirkung an Produktstrategie , Roadmaps und Business Cases	R1
04_produktmanager	SKILL	nur A	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios	übernommen	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios	R1
04_produktmanager	SKILL	nur A	Optimierung von Go-to-Market-Prozessen	übernommen	Optimierung von Go-to-Market-Prozessen	R1
04_produktmanager	SKILL	nur A	Fundiertes Verständnis für Produktstrategie , Marktmechaniken , technische Produktentwicklung und Business Cases	angepasst	[K] Produktstrategie || [K] technische Produktentwicklung || [K] Business Cases || [K] Produktstrategie || [K] Marktmechaniken || [K] technische Produktentwicklung || [K] Business Cases	R2,R3
04_produktmanager	SKILL	nur A	Übersetzung von Anforderungen in umsetzbare Produktlösungen	übernommen	Übersetzung von Anforderungen in umsetzbare Produktlösungen	R2
04_produktmanager	SKILL	nur A	Strategische und zugleich pragmatische Arbeitsweise	übernommen	Strategische und zugleich pragmatische Arbeitsweise	R2
04_produktmanager	SKILL	nur A	Sehr ausgeprägte kommunikative Fähigkeiten	angepasst	[S] kommunikative Fähigkeiten	R1
04_produktmanager	SKILL	nur A	Projekte selbstständig zu übernehmen und voranzutreiben	übernommen	Projekte selbstständig zu übernehmen und voranzutreiben	R2
04_produktmanager	SKILL	nur B	gestaltest du die Weiterentwicklung unserer Produkte an der Schnittstelle von Markt , Kund : innen , Vertrieb , Entwicklung und Produktion	angepasst	[S] Weiterentwicklung unserer Produkte	R1
04_produktmanager	SKILL	nur B	Du übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen , priorisierst Features und begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung	angepasst	[S] übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen || [S] priorisierst Features || [S] begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung	R2
04_produktmanager	SKILL	nur B	arbeitest du eigenverantwortlich , datenbasiert und pragmatisch – mit dem Ziel , unsere Produkte technisch , wirtschaftlich und marktseitig kontinuierlich weiterzuentwickeln	angepasst	[S] eigenverantwortlich || [S] datenbasiert || [S] pragmatisch	R2
04_produktmanager	SKILL	nur B	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	übernommen	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	R1
04_produktmanager	SKILL	nur B	Mitwirkung an Produktstrategie , Roadmaps und Business Cases auf Basis definierter Ziele und KPIs	angepasst	[S] Mitwirkung an Produktstrategie , Roadmaps und Business Cases	R1
04_produktmanager	SKILL	nur B	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios inklusive Build - , Improve - und Retire-Entscheidungen	angepasst	[S] Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios	R1
04_produktmanager	SKILL	nur B	Unterstützung reibungsloser Abläufe zwischen Produktmanagement , Entwicklung , Produktion und Vertrieb	angepasst	[S] Unterstützung reibungsloser Abläufe	R1
04_produktmanager	SKILL	nur B	Mitwirkung an der Optimierung von Go-to-Market-Prozessen	angepasst	[S] Optimierung von Go-to-Market-Prozessen	R1
04_produktmanager	SKILL	nur B	Arbeit mit technischen Teams sowie in der Übersetzung von Anforderungen in umsetzbare Produktlösungen	angepasst	[S] Arbeit mit technischen Teams || [S] Übersetzung von Anforderungen in umsetzbare Produktlösungen	R2
04_produktmanager	SKILL	nur B	Strategische und zugleich pragmatische Arbeitsweise mit der Fähigkeit , Vision und Umsetzung in Einklang zu bringen	angepasst	[S] Strategische und zugleich pragmatische Arbeitsweise || [S] Vision und Umsetzung in Einklang zu bringen	R1,R2
04_produktmanager	SKILL	nur B	Sehr ausgeprägte kommunikative Fähigkeiten sowie die Fähigkeit , Projekte selbstständig zu übernehmen und voranzutreiben	angepasst	[S] kommunikative Fähigkeiten || [S] Projekte selbstständig zu übernehmen und voranzutreiben	R1,R2
04_produktmanager	KNOWLEDGE	nur A	Produktstrategie	übernommen	Produktstrategie	R3
04_produktmanager	KNOWLEDGE	nur A	technische Produktentwicklung	übernommen	technische Produktentwicklung	R3
04_produktmanager	KNOWLEDGE	nur A	Go-to-Market	übernommen	Go-to-Market	R3
04_produktmanager	KNOWLEDGE	nur A	Business Cases	übernommen	Business Cases	R3
04_produktmanager	KNOWLEDGE	nur A	Produktmanagement	übernommen	Produktmanagement	R3
04_produktmanager	KNOWLEDGE	nur A	Produktstrategie	übernommen	Produktstrategie	R2
04_produktmanager	KNOWLEDGE	nur A	Marktmechaniken	übernommen	Marktmechaniken	R2
04_produktmanager	KNOWLEDGE	nur A	technische Produktentwicklung	übernommen	technische Produktentwicklung	R2
04_produktmanager	KNOWLEDGE	nur A	Business Cases	übernommen	Business Cases	R2
04_produktmanager	KNOWLEDGE	nur B	Produktportfolio	verworfen		R3: Arbeitsgegenstand
04_produktmanager	KNOWLEDGE	nur B	KPIs	verworfen		R3: Arbeitsgegenstand
04_produktmanager	KNOWLEDGE	nur B	Produktmanagement	übernommen	Produktmanagement	R3
04_produktmanager	KNOWLEDGE	nur B	Go-to-Market-Prozessen	übernommen	Go-to-Market-Prozessen	R3
04_produktmanager	KNOWLEDGE	nur B	Produktperformance	verworfen		R3: Arbeitsgegenstand
04_produktmanager	KNOWLEDGE	nur B	IoT -	angepasst	[K] IoT - , SaaS - , Energie - oder Funktechnologie-nahen Umfeld	R2
04_produktmanager	KNOWLEDGE	nur B	SaaS -	angepasst	[K] IoT - , SaaS - , Energie - oder Funktechnologie-nahen Umfeld	R2
04_produktmanager	KNOWLEDGE	nur B	Energie -	angepasst	[K] IoT - , SaaS - , Energie - oder Funktechnologie-nahen Umfeld	R2
04_produktmanager	KNOWLEDGE	nur B	Funktechnologie-nahen Umfeld	angepasst	[K] IoT - , SaaS - , Energie - oder Funktechnologie-nahen Umfeld	R2
04_produktmanager	KNOWLEDGE	nur B	Produktstrategie , Marktmechaniken , technische Produktentwicklung und Business Cases	angepasst	[K] Produktstrategie || [K] technische Produktentwicklung || [K] Business Cases || [K] Produktstrategie || [K] Marktmechaniken || [K] technische Produktentwicklung || [K] Business Cases	R2,R3
05_marketing-allrounder-seo	SKILL	nur A	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website	übernommen	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website	R1
05_marketing-allrounder-seo	SKILL	nur A	Aufbau und Pflege von Backlinks	übernommen	Aufbau und Pflege von Backlinks	R2
05_marketing-allrounder-seo	SKILL	nur A	Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern	übernommen	Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern	R2
05_marketing-allrounder-seo	SKILL	nur B	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website , insbesondere im Bereich SEO ( On-Page , technisches SEO , Content-Strategie )	angepasst	[S] Eigenständige Betreuung und kontinuierliche Optimierung unserer Website	R1
05_marketing-allrounder-seo	SKILL	nur B	Aufbau und Pflege von Backlinks sowie Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern	angepasst	[S] Aufbau und Pflege von Backlinks || [S] Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern	R2
05_marketing-allrounder-seo	SKILL	nur B	Unterstützung bei der Positionierung unserer Standorte Berlin und Hamburg	angepasst	[S] Positionierung unserer Standorte	R1
05_marketing-allrounder-seo	SKILL	nur B	Enge Zusammenarbeit mit der Geschäftsführung zur Umsetzung unserer Wachstumsstrategie	angepasst	[S] Enge Zusammenarbeit mit der Geschäftsführung	R1
05_marketing-allrounder-seo	KNOWLEDGE	nur B	Backlinks	verworfen		R3: Arbeitsgegenstand
05_marketing-allrounder-seo	KNOWLEDGE	nur B	Website - und Social-Media-Inhalten	verworfen		R3: Arbeitsgegenstand
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung	übernommen	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung	R1
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Zusammenarbeit im multiprofessionellen Team	übernommen	Zusammenarbeit im multiprofessionellen Team	R0
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	Strukturierte und zuverlässige Arbeitsweise	übernommen	Strukturierte und zuverlässige Arbeitsweise	R2
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur A	lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten	übernommen	lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten	R2
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Sie arbeiten in einem multiprofessionellen Team am Standort Harburg	verworfen		"Beschreibt Arbeitsplatz; Skill steht in ""Zusammenarbeit im multiprofessionellen Team"""
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung in enger Kooperation mit dem ärztlichen , therapeutischen und pflegerischen Team	angepasst	[S] Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung	R1
06_sozialarbeiter-psychosozialer-dienst	SKILL	nur B	Strukturierte und zuverlässige Arbeitsweise sowie lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten	angepasst	[S] Strukturierte und zuverlässige Arbeitsweise || [S] lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten	R2
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	nur B	sozialrechtlichen Fragestellungen	übernommen	sozialrechtlichen Fragestellungen	R3
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	nur B	psychischen Erkrankungen	übernommen	psychischen Erkrankungen	R3
07_heilerziehungspfleger	SKILL	nur A	Gestaltung von pädagogischen Angeboten	übernommen	Gestaltung von pädagogischen Angeboten	R1
07_heilerziehungspfleger	SKILL	nur A	Elternarbeit	übernommen	Elternarbeit	R2
07_heilerziehungspfleger	SKILL	nur A	Dokumentation	übernommen	Dokumentation	R2
07_heilerziehungspfleger	SKILL	nur A	Entwicklungsbegleitung	übernommen	Entwicklungsbegleitung	R2
07_heilerziehungspfleger	SKILL	nur A	Teamfähigkeit	übernommen	Teamfähigkeit	R2
07_heilerziehungspfleger	SKILL	nur A	Kreativität	übernommen	Kreativität	R2
07_heilerziehungspfleger	SKILL	nur A	Zuverlässigkeit	übernommen	Zuverlässigkeit	R2
07_heilerziehungspfleger	SKILL	nur A	Einfühlungsvermögen	übernommen	Einfühlungsvermögen	R2
07_heilerziehungspfleger	SKILL	nur A	Gute Kommunikationsfähigkeit	angepasst	[S] Kommunikationsfähigkeit	R1
07_heilerziehungspfleger	SKILL	nur B	Gestaltung von pädagogischen Angeboten gemeinsam mit Deinen Kollegen	angepasst	[S] Gestaltung von pädagogischen Angeboten	R1
07_heilerziehungspfleger	SKILL	nur B	Elternarbeit , Dokumentation und Entwicklungsbegleitung	angepasst	[S] Elternarbeit || [S] Dokumentation || [S] Entwicklungsbegleitung	R2
07_heilerziehungspfleger	SKILL	nur B	Teamfähigkeit , Kreativität , Zuverlässigkeit und Einfühlungsvermögen	angepasst	[S] Teamfähigkeit || [S] Kreativität || [S] Zuverlässigkeit || [S] Einfühlungsvermögen	R2
07_heilerziehungspfleger	SKILL	nur B	Kommunikationsfähigkeit	übernommen	Kommunikationsfähigkeit	R1
07_heilerziehungspfleger	KNOWLEDGE	nur B	Krippen - oder Elementarbereich	übernommen	Krippen - oder Elementarbereich	R3
08_sozialpaedagogische-assistenz-krippe	SKILL	nur A	leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern	übernommen	leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern	R2
08_sozialpaedagogische-assistenz-krippe	SKILL	nur A	betreust diese alters - und zielgruppenspezifisch	verworfen		"R2: anaphorisch (""diese"")"
08_sozialpaedagogische-assistenz-krippe	SKILL	nur B	Du leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern und betreust diese alters - und zielgruppenspezifisch	angepasst	[S] leitest mit einer weiteren päd . Fachkraft eine Gruppe von 10-13 Krippenkindern	R2
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	übernommen	förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	R1
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt	übernommen	entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt	R1
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	Kinderbetreuung	übernommen	Kinderbetreuung	R0
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	herzlich , engagiert , offen und ein echter Teamplayer	angepasst	[S] herzlich || [S] engagiert || [S] offen || [S] Teamplayer	R2
09_spa-sozialpaedagogischer-assistent	SKILL	nur A	vertrauensvolle Bezugsperson	übernommen	vertrauensvolle Bezugsperson	R0
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	angepasst	[S] förderst die Kinder im Krippenbereich oder Elementarbereich individuell nach ihren Bedürfnissen	R1
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt	angepasst	[S] entwickelst und konzipierst Angebote in deinem eigenen pädagogischen Schwerpunkt	R1
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du berücksichtigst das Konzept des jeweiligen Kita oder Kindergarten und setzt dieses aktiv in deiner Arbeit um	angepasst	[S] berücksichtigst das Konzept des jeweiligen Kita oder Kindergarten	R1
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du bist herzlich , engagiert , offen und ein echter Teamplayer	angepasst	[S] herzlich || [S] engagiert || [S] offen || [S] Teamplayer	R2
09_spa-sozialpaedagogischer-assistent	SKILL	nur B	Du findest schnell Anschluss und bringst dich motiviert in dem vielfältigen Kitaalltag ein	angepasst	[S] findest schnell Anschluss || [S] motiviert	R2
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	ganzheitliche Pflege im Rahmen des Pflegeprozesses	übernommen	ganzheitliche Pflege im Rahmen des Pflegeprozesses	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	Medikamentenmanagement	übernommen	Medikamentenmanagement	R2
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	führst Pflegevisiten durch	übernommen	führst Pflegevisiten durch	R2
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen	übernommen	arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln	übernommen	unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	berätst und motivierst die von dir begleiteten Menschen im Alltag	übernommen	berätst und motivierst die von dir begleiteten Menschen im Alltag	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur A	Zusammenarbeit in einem multiprofessionellen Team	übernommen	Zusammenarbeit in einem multiprofessionellen Team	R0
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	begleitest Menschen mit Behinderung in Pflege und Alltag	übernommen	begleitest Menschen mit Behinderung in Pflege und Alltag	R0
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du übernimmst die ganzheitliche Pflege im Rahmen des Pflegeprozesses	angepasst	[S] ganzheitliche Pflege im Rahmen des Pflegeprozesses	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du kümmerst dich um das Medikamentenmanagement und führst Pflegevisiten durch	angepasst	[S] Medikamentenmanagement || [S] führst Pflegevisiten durch	R2
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen	angepasst	[S] arbeitest eng mit Kolleg : innen aus unterschiedlichen Berufsgruppen zusammen	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln	angepasst	[S] unterstützt die Nutzenden dabei , ihre Lebensqualität und Eigenständigkeit zu erhalten und weiterzuentwickeln	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Du berätst und motivierst die von dir begleiteten Menschen im Alltag	angepasst	[S] berätst und motivierst die von dir begleiteten Menschen im Alltag	R1
10_pflegefachkraft-senator-neumann-haus	SKILL	nur B	Arbeit mit Menschen mit Behinderung	übernommen	Arbeit mit Menschen mit Behinderung	R0
10_pflegefachkraft-senator-neumann-haus	KNOWLEDGE	nur B	Medikamentenmanagement	angepasst	[S] Medikamentenmanagement	R2
11_mechatroniker	SKILL	nur A	montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	übernommen	montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	R1
11_mechatroniker	SKILL	nur A	stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen	übernommen	stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen	R1
11_mechatroniker	SKILL	nur A	programmierst und konfigurierst Steuerungen und Software	übernommen	programmierst und konfigurierst Steuerungen und Software	R1
11_mechatroniker	SKILL	nur A	führst Messungen , Prüfungen und Fehlerdiagnosen durch	übernommen	führst Messungen , Prüfungen und Fehlerdiagnosen durch	R1
11_mechatroniker	SKILL	nur A	übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	angepasst	[S] Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	R1
11_mechatroniker	SKILL	nur A	liest technische Zeichnungen sowie Schalt - und Montagepläne	übernommen	liest technische Zeichnungen sowie Schalt - und Montagepläne	R1
11_mechatroniker	SKILL	nur A	Einweisung der Anwender in die Bedienung	übernommen	Einweisung der Anwender in die Bedienung	R2
11_mechatroniker	SKILL	nur A	Kundenbetreuung	übernommen	Kundenbetreuung	R2
11_mechatroniker	SKILL	nur A	dokumentierst deine Arbeit sorgfältig und nachvollziehbar	übernommen	dokumentierst deine Arbeit sorgfältig und nachvollziehbar	R1
11_mechatroniker	SKILL	nur A	stabiles technisches Verständnis	angepasst	[S] technisches Verständnis	R1
11_mechatroniker	SKILL	nur A	handwerklich geschickt , lösungsorientiert und zuverlässig	angepasst	[S] handwerklich geschickt || [S] lösungsorientiert || [S] zuverlässig	R2
11_mechatroniker	SKILL	nur B	Du montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	angepasst	[S] montierst , installierst und nimmst mechatronische Systeme und Anlagen wie Maschinen oder Roboter in Betrieb	R1
11_mechatroniker	SKILL	nur B	Du stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen	angepasst	[S] stellst mechanische , elektrische und elektronische Komponenten her und baust sie zusammen	R1
11_mechatroniker	SKILL	nur B	Du programmierst und konfigurierst Steuerungen und Software – und testest sie auf Herz und Nieren	angepasst	[S] programmierst und konfigurierst Steuerungen und Software	R1
11_mechatroniker	SKILL	nur B	Du führst Messungen , Prüfungen und Fehlerdiagnosen durch	angepasst	[S] führst Messungen , Prüfungen und Fehlerdiagnosen durch	R1
11_mechatroniker	SKILL	nur B	Du übernimmst die Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	angepasst	[S] Wartung , Reparaturen und Instandhaltung von Maschinen und Anlagen	R1
